Incident,Estimated Start Time,Estimated Restored Time,Postcodes Impacted,Operator,Description
HB8263,2021-04-17 18:48,2021-04-17 22:00,"HP11 2PL, HP11 2RF, HP11 2SH, HP11 2SW, HP11 2TD, HP12 3DT, HP12 3EH, HP12 3EY, HP12 3FW, HP12 3GA, HP12 3HE, HP12 3HH, HP12 3XH",SSEN,"We’re sorry for the loss of supply. We currently have a fault affecting the areas listed. Our engineers are on site working hard to get the power back on as quickly as they can. If you need more information, please call us on 105 or send us a message on <a href=""http://m.me/ssencommunity/"">Facebook</a> or Twitter (<a href=""https://twitter.com/ssencommunity"">@ssencommunity</a>) and quote reference 'HB8263'"
INCD-358016-G,2021-04-17 18:46,2021-04-18 03:00,TF7 4HW,WPD,In Progress
INCD-231593-Z,2021-04-17 18:31,Unknown,"NR65BJ, NR65AA, NR65BL, NR65BN, NR65BP, NR65BW, NR65GA, NR65GB, NR65PN, NR65QZ, NR65RR",UKPN,A fault occurred on an underground electricity cable affecting the local area.
INCD-172368-A,2021-04-17 18:30,2021-04-17 21:30,WF14 0DQ,NP,Unknown P2 In Progress
INCD-172367-A,2021-04-17 18:24,Unknown,S36 6HT,NP,U/G Service repair Awaiting
INCD-59923-N,2021-04-17 18:23,2021-04-17 22:30,"SW1W8AU, SW1W8PB, SW1W8PQ, SW1W8PZ, SW1W8QA, SW1W8QB, SW1W8QE, SW1W8QF, SW1W8RB",UKPN,A fault occurred on a piece of our electrical equipment which controls the power to your home.
INCD-172365-A,2021-04-17 18:22,2021-04-17 21:30,S2 5EP,NP,Damaged service U/G In Progress
INCD-172369-A,2021-04-17 18:02,2021-04-17 22:00,"HX3 0AH, HX3 0AT, HX3 0AU, HX3 0AS",NP,Unknown P2 In Progress
INCD-172366-A,2021-04-17 17:47,2021-04-17 21:30,BD4 0QN,NP,U/G Service repair In Progress
INCD-172361-A,2021-04-17 17:27,2021-04-17 21:00,OL14 7TL,NP,Damage Other In Progress
INCD-172360-A,2021-04-17 17:06,Unknown,WF12 7HU,NP,U/G Service repair In Progress
INCD-172358-A,2021-04-17 16:50,Unknown,HD8 9NE,NP,DNO Energisation check Awaiting
INCD-2112-g,2021-04-17 16:45,2021-04-17 20:30,"CF37 3HF, CF37 3HE, CF37 3NW, CF37 3HG, CF37 3AL",WPD,In Progress
60508633,2021-04-17 16:41,2021-04-17 22:43,"LA3 2BP, LA3 2BU, LA3 2DF, LA3 2DN, LA3 2DQ, LA3 2DR, LA3 2DS, LA3 2DY, LA3 2JH",ENW,The power cut in your area has been caused by an unexpected incident with the underground cable that provides electricity to your property.
INCD-564631-s,2021-04-17 16:34,2021-04-17 22:59,"EH127NW, EH127NY",SP,There is a power cut in the EH12 postcode area of Edinburgh. We had no advance warning of this and only became aware of it at 4:34pm. Our team attended the Broomhall Avenue substation and replaced a blown fuse however they have now established an underground cable fault nearby and we now expect to get your power back on as quickly and as safely as possible by midnight. We will update this message if this information changes. We apologise for the inconvenience and thank you for your patience. This message was updated at 7:25pm on Saturday 17th April 2021
INCD-231583-Z,2021-04-17 16:03,2021-04-17 22:00,SG54PG,UKPN,A fault occurred on an underground electricity cable affecting the local area.
HB8224,2021-04-17 15:22,2021-04-18 02:30,"SO45 5BA, SO45 5BB, SO45 5BE, SO45 5BG, SO45 5ET",SSEN,"We’re sorry for the loss of supply. We currently have a fault affecting the areas listed. Our engineers are on site working hard to get the power back on as quickly as they can. If you need more information, please call us on 105 or send us a message on <a href=""http://m.me/ssencommunity/"">Facebook</a> or Twitter (<a href=""https://twitter.com/ssencommunity"">@ssencommunity</a>) and quote reference 'HB8224'"
INCD-564601-s,2021-04-17 14:12,2021-04-17 22:00,"EH224PT, EH224PZ, EH224QA, EH224QB, EH224QD, EH224QE, EH224QF, EH224QG, EH224QH, EH224QQ",SP,"There is a power cut in the EH22 postcode area of Newtongrange. We did not know in advance there would be a power cut, and are working to get supplies restored. So far we have worked along side the emergency services and begun the necessary repairs to restore supplies. We are currently awaiting on additional staff to arrive on site to assist and we now expect your supply to be restored by 10:00pm. We understand that being without power is frustrating and please be assured we will restore your supply as soon as we possibly can. If for any reason this information changes then we will update this message. We apologise for the inconvenience and thank you for your patience. This message was updated at 7:06pm on Saturday 17th April 2021"
INCD-497753-k,2021-04-17 13:51,2021-04-17 22:59,KA71LL,SP,This is a message for customers in the KA7 postcode area of Ayr. It is necessary for our engineers to carry out an emergency shutdown at 8.15pm to repair a faulty underground cable on Newmarket Street and this may affect the supply to your property. We will work to get your power back on as quickly and as safely as possible by midnight. We will update this message if this information changes. We apologise for the inconvenience and thank you for your patience. This message was updated at 7.46pm on Saturday 17th April 2021.
HB8195,2021-04-17 13:49,2021-04-18 00:00,"TW7 5JG, TW7 5NT, TW7 5QE",SSEN,"We’re sorry for the loss of supply. We currently have a fault affecting the areas listed. Our engineers are on site working hard to get the power back on as quickly as they can. If you need more information, please call us on 105 or send us a message on <a href=""http://m.me/ssencommunity/"">Facebook</a> or Twitter (<a href=""https://twitter.com/ssencommunity"">@ssencommunity</a>) and quote reference 'HB8195'"
INCD-260219-J,2021-04-17 12:57,2021-04-17 22:00,"KT33PB, KT33QW, KT33BF, KT33QP",UKPN,We had to turn off power in your area so our engineers could safely carry out emergency repairs to the network.
INCD-564583-s,2021-04-17 12:40,2021-04-17 21:00,"EH421QT, EH421SG, TD135XP, TD145RJ",SP,"We are aware of a fault in your area. If you require more information please call us on: <br>Central and Southern Scotland:  0800 092 9290 . <br> Cheshire, Merseyside, North Wales and North Shropshire: 0800 001 5400."
INCD-172328-A,2021-04-17 12:37,Unknown,S9 1WQ,NP,U/G Service repair In Progress
HB8121,2021-04-17 11:40,2021-04-17 21:00,"SO14 6UN, SO14 6UP, SO15 3JD, SO17 2AS, SO17 2AU, SO17 2FT, SO17 2FU, SO17 2TH, SO17 3SN",SSEN,"We’re sorry for the loss of supply. We currently have a fault affecting the areas listed. Our engineers are on site working hard to get the power back on as quickly as they can. If you need more information, please call us on 105 or send us a message on <a href=""http://m.me/ssencommunity/"">Facebook</a> or Twitter (<a href=""https://twitter.com/ssencommunity"">@ssencommunity</a>) and quote reference 'HB8121'"
INCD-17176-D,2021-04-17 11:12,Unknown,LS9 9JZ,NP,Smart Meter Cutout Change In Progress
INCD-231546-Z,2021-04-17 09:30,2021-04-17 22:00,"CM150EH, CM150EJ, CM150EL, CM150EN, CM150EP, CM150EQ, CM150ER, CM150ES, CM150ET, CM150EW, CM150JX, CM150LD, CM150LE, CM150LG, CM150NA, CM150PU, CM150QE, CM150QZ, CM150RE, CM150RU, CM150SB, CM150SE, CM150SF, CM150SG, CM150SH, CM150SJ, CM150SL, CM150SN, CM150SP, CM150SR, CM150SS, CM150ST, CM150SU, CM150TS, CM150TT, CM150TU, CM35QH, CM40JR, CM40JS, CM40JU, CM40JX, CM40JY, CM40JZ, CM40NW, CM40NX, CM40NZ, CM40PA, CM40QE, CM40QH, CM40QJ, CM40QL, CM40QN, CM40QP, CM40QR, CM40QU, CM40QW, CM40QX, CM40QY, CM40QZ, CM40RA, CM40RB, CM40RD, CM40RJ, CM40RL, CM40RN, CM40RR, CM40RS, CM40RT, CM40RU, CM40RX, CM40RY, CM40RZ, CM40SA, CM40SB, CM40SD, CM40SF, CM40SG, CM40SP, CM59RG",UKPN,We were investigating a high voltage overhead electricity line fault which caused a power cut in the local area.
INCD-229277-Z,2021-04-17 09:05,2021-04-17 15:00,IP123RE,UKPN,We're carrying out planned work in your area. For our engineers to carry it out safely they need to turn the power off. We're doing this work as it's essential to provide reliable electricity supplies to your area. We're sorry for any inconvenience caused and thank you for your patience.
PPC039683,2021-04-17 08:30,2021-04-17 11:00,DL13 1PF,NP,We need to temporarily turn the power off to carry out maintenance on our network in the area. The scheduled work has now been completed
PPC039900,2021-04-17 08:30,2021-04-17 14:30,"HD7 3DU, HD9 4DU",NP,We need to temporarily turn the power off to carry out replacement of poles that support our overhead power lines in the area. The scheduled work has now been completed
INCD-227941-Z,2021-04-17 08:00,2021-04-17 16:30,AL71JD,UKPN,We're carrying out planned work in your area. For our engineers to carry it out safely they need to turn the power off. We're doing this work as it's essential to provide reliable electricity supplies to your area. We're sorry for any inconvenience caused and thank you for your patience.
PPC039627,2021-04-17 08:00,2021-04-17 10:00,"BD19 3JU, BD19 3EG, BD19 3EA, BD19 3AG, BD19 3AF, BD19 3EP, BD19 3AD",NP,We need to temporarily turn the power off to carry out power upgrades in the area. The scheduled work has now been completed
PPC039884,2021-04-17 08:00,2021-04-17 12:00,"YO30 4RB, YO30 4RA, YO30 4US",NP,We need to temporarily turn the power off to carry out a permanent repair in the area. The scheduled work has now been completed
INCD-24-q,2021-04-17 06:42,2021-04-17 22:00,TA6 7EJ,WPD,In Progress
INCD-494579-k,2021-04-02 10:05,2021-04-18 07:00,"FK28QX, FK28XX",SP,The electricity supply to your premises may currently be affected by planned work.  You should have received a letter explaining this.  We hope to be able to restore your supplies by 18-APR-2021 08:00.  Please accept our sincere apologies for any inconvenience this is causing.
